kommunenr,has_propertytax,propertytax_120kvm
0101,1,4875
0104,1,5530
0105,1,5198
0106,1,5500
0111,1,6000
0118,1,4935
0119,1,
0121,0,
0122,1,6720
0123,1,
0124,1,
0125,0,
0127,1,
0128,1,7520
0135,1,2920
0136,1,6400
0137,1,6400
0138,1,2640
0211,1,
0213,0,
0214,1,
0215,0,
0216,1,
0217,0,
0219,0,
0220,0,
0221,1,
0226,1,4000
0227,1,4500
0228,0,
0229,0,
0230,1,
0231,1,2100
0233,1,
0234,0,
0235,0,
0236,1,2136
0237,0,
0238,0,
0239,0,
0301,0,
0402,1,3542
0403,1,7350
0412,1,4326
0415,1,3600
0417,1,6300
0418,1,5880
0419,1,6048
0420,1,5980
0423,1,4536
0425,1,2460
0426,1,2340
0427,1,3477
0428,1,1814
0429,1,3168
0430,1,2120
0432,1,
0434,1,1200
0436,1,2300
0437,1,2900
0438,1,2200
0439,1,2400
0441,1,4000
0501,1,2860
0502,1,6534
0511,1,700
0512,1,
0513,1,
0514,1,3000
0515,1,3000
0516,1,2400
0517,1,5000
0519,1,2038
0520,1,3500
0521,1,3710
0522,1,3540
0528,1,4125
0529,1,4800
0532,1,2500
0533,1,2350
0534,1,1500
0536,0,
0538,1,2717
0540,1,2950
0541,1,3080
0542,1,3645
0543,1,3725
0544,1,
0545,1,
0602,0,
0604,1,3100
0605,1,2700
0612,0,
0615,1,
0616,1,2880
0617,1,2377
0618,1,
0619,1,
0620,1,
0621,1,
0622,1,
0623,1,
0624,0,
0625,0,
0626,0,
0627,0,
0628,0,
0631,1,3744
0632,1,3150
0633,1,
0701,0,
0702,1,
0704,0,
0706,0,
0709,0,
0711,1,2500
0713,1,
0714,0,
0716,0,
0719,0,
0720,0,
0722,0,
0723,0,
0728,0,
0805,1,2224
0806,1,4390
0807,1,5008
0811,1,4720
0814,1,1866
0815,1,2350
0817,1,3000
0819,1,5000
0821,1,5600
0822,1,3640
0826,1,
0827,1,3744
0828,1,
0829,1,
0830,1,2880
0831,1,
0833,1,
0834,1,
0901,1,3640
0904,1,5252
0906,1,3430
0911,1,3852
0912,0,
0914,0,
0919,1,
0926,1,790
0928,1,4950
0929,1,3400
0935,1,
0937,1,
0938,1,
0940,1,
0941,1,
1001,1,5800
1002,1,4340
1003,1,1406
1004,1,2880
1014,1,3330
1017,1,2500
1018,1,4500
1021,1,
1026,1,
1027,1,1800
1029,1,
1032,0,
1034,0,
1037,1,
1046,1,
1101,1,2560
1102,0,
1103,1,3000
1106,1,4066
1111,1,
1112,1,
1114,1,4200
1119,0,
1120,0,
1121,0,
1122,1,2500
1124,0,
1127,1,
1129,1,
1130,1,2495
1133,1,2600
1134,1,
1135,1,2880
1141,1,6000
1142,1,
1144,1,
1145,1,
1146,1,
1149,1,1680
1151,1,3000
1160,1,2120
1201,1,6466
1211,1,4500
1216,1,3480
1219,1,5000
1221,1,2920
1222,1,1620
1223,1,4800
1224,1,
1227,1,
1228,1,
1231,1,3240
1232,1,
1233,1,
1234,1,3900
1235,1,2700
1238,1,5400
1241,1,3000
1242,1,3000
1243,0,
1244,1,
1245,1,2880
1246,0,
1247,0,
1251,1,2842
1252,1,
1253,1,3696
1256,1,4550
1259,1,
1260,1,3300
1263,1,
1264,1,
1265,1,
1266,1,
1401,1,4200
1411,1,3115
1412,1,2400
1413,1,3560
1416,1,1960
1417,1,5880
1418,1,600
1419,1,2200
1420,1,4500
1421,1,
1422,1,
1424,1,2500
1426,1,
1428,1,2000
1429,1,4700
1430,1,2632
1431,1,3700
1432,1,2808
1433,1,5834
1438,1,
1439,1,3700
1441,1,
1443,1,4000
1444,0,
1445,1,2600
1449,1,2700
1502,1,5400
1504,1,1025
1505,1,4320
1511,0,
1514,0,
1515,0,
1516,0,
1517,1,3000
1519,1,5000
1520,1,2100
1523,0,
1524,1,
1525,1,5760
1526,0,
1528,1,5000
1529,1,3500
1531,0,
1532,1,3360
1534,0,
1535,1,3000
1539,1,3024
1543,1,
1545,0,
1546,0,
1547,1,
1548,1,5600
1551,0,
1554,1,5880
1557,1,6300
1560,1,2000
1563,1,2200
1566,1,2145
1567,1,
1571,1,3440
1573,1,
1576,1,
1601,1,4469
1612,1,2050
1613,1,
1617,1,
1620,1,
1621,0,
1622,0,
1624,1,
1627,1,
1630,1,
1632,1,1700
1633,1,
1634,1,2400
1635,1,2600
1636,1,
1638,0,
1640,1,5280
1644,1,3500
1648,1,
1653,1,2000
1657,1,4000
1662,1,
1663,1,1400
1664,1,
1665,1,
1702,1,5640
1703,1,5000
1711,1,
1714,0,
1717,1,2500
1718,1,
1719,1,5000
1721,1,4500
1724,1,2616
1725,1,5200
1736,1,3600
1738,1,3360
1739,1,
1740,1,
1742,1,4200
1743,1,
1744,1,4200
1748,1,
1749,1,2700
1750,1,4170
1751,1,2500
1755,1,
1756,1,
1804,1,3510
1805,1,3920
1811,1,
1812,1,4500
1813,1,4800
1815,1,480
1816,0,
1818,1,3150
1820,1,5865
1822,1,2970
1824,1,5188
1825,1,2500
1826,1,3535
1827,1,7300
1828,1,2700
1832,1,
1833,1,2120
1834,1,2960
1835,0,
1836,1,
1837,1,
1838,1,5000
1839,1,3360
1840,1,
1841,1,2000
1845,1,
1848,1,3332
1849,1,4100
1850,1,4233
1851,0,
1852,1,
1853,1,
1854,1,
1856,1,2420
1857,0,
1859,1,5880
1860,1,4466
1865,1,3840
1866,1,4000
1867,1,
1868,0,
1870,1,2800
1871,1,5600
1874,1,3360
1902,1,3240
1903,1,3003
1911,1,
1913,1,
1917,1,2100
1919,1,
1920,1,
1922,1,2872
1923,1,5760
1924,1,6706
1925,0,
1926,0,
1927,1,2400
1928,1,2640
1929,1,2100
1931,1,3200
1933,1,4299
1936,1,8400
1938,1,4850
1939,1,
1940,1,
1941,1,5600
1942,1,4200
1943,1,
2002,1,880
2003,1,6000
2004,1,1925
2011,1,924
2012,1,3000
2014,0,
2015,0,
2017,1,4750
2018,1,2500
2019,1,1201
2020,1,1875
2021,0,
2022,1,1800
2023,1,2940
2024,1,
2025,1,1760
2027,1,
2028,0,
2030,1,4896